100
30 30
1 8 8
2 3 8
3 5 5
4 3 2
5 9 4
6 8 10
7 9 2
8 5 6
9 1 10
10 6 7
11 2 3
12 5 6
13 4 8
14 10 6
15 10 7
16 2 5
17 8 4
18 5 4
19 10 7
20 7 9
21 10 7
22 9 5
23 6 8
24 6 5
25 9 8
26 6 3
27 3 9
28 9 7
29 6 4
30 10 8
31 10 2
32 8 1
33 8 3
34 2 2
35 9 3
36 7 4
37 4 8
38 1 10
39 6 10
40 6 9
41 4 3
42 6 2
43 9 6
44 8 2
45 6 9
46 3 8
47 2 6
48 7 2
49 8 6
50 6 6
51 8 10
52 3 10
53 1 2
54 10 4
55 8 9
56 7 3
57 3 4
58 4 4
59 3 9
60 6 9
61 1 4
62 10 2
63 10 10
64 8 10
65 8 9
66 4 6
67 6 2
68 6 3
69 9 8
70 5 9
71 5 2
72 5 5
73 4 2
74 4 6
75 1 8
76 3 10
77 4 7
78 7 7
79 4 4
80 4 2
81 5 1
82 4 3
83 5 4
84 3 1
85 6 8
86 7 10
87 1 7
88 8 9
89 9 3
90 10 8
91 10 5
92 2 1
93 10 4
94 3 7
95 5 5
96 10 6
97 7 4
98 9 4
99 1 4
100 1 7
